pkt_num,type
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
0,W/I Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
8010,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
16,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
371,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
279,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
18,W/O Cluster
284,W/O Cluster
284,W/O Cluster
284,W/O Cluster
